Numer;Powierzchnia;Rodzaj;Ulga
517/10;1293,99;B;B
517/11;971,09;B;A
517/12;1259,19;R;B
517/13;753,68;B;C
517/14;1107,02;R;C
517/15;1246,00;B;A
517/16;1225,80;B;A
517/17;826,18;B;B
517/18;1114,57;B;A
517/19;1389,43;B;B
517/20;840,85;B;C
517/21;1187,20;B;A
517/22;707,07;B;D
517/23;1343,59;B;C
517/24;578,55;B;B
517/25;1126,78;B;B
517/26;1364,66;B;C
517/27;566,59;R;C
517/28;714,47;B;C
517/29;1029,51;B;D
517/30;1033,02;B;C
517/31;509,36;X;C
517/32;665,74;B;C
517/33;1450,08;B;D
517/34;1460,83;R;D
517/35;991,47;R;B
517/36;1405,11;X;C
517/37;779,04;B;C
517/38;1124,50;B;C
517/39;934,68;B;A
517/40;676,92;B;D
517/41;1259,12;B;B
517/42;1072,30;X;D
517/43;1265,17;R;C
517/44;1443,60;B;B
517/45;800,08;X;B
517/46;794,84;B;B
517/47;1347,41;X;C
517/48;1129,39;B;B
517/49;904,55;B;B
517/50;758,64;B;C
517/51;795,48;S;A
517/52;657,50;X;D
517/53;557,87;S;D
517/54;1012,64;R;A
517/55;1303,93;R;A
517/56;1146,24;B;C
517/57;1463,32;X;C
517/58;1497,78;S;B
517/59;954,47;S;A
517/60;1022,00;B;B
517/61;1237,04;B;B
517/62;1185,05;B;B
517/63;592,47;B;D
517/64;907,06;X;C
517/65;1448,70;X;B
517/66;885,98;X;B
517/67;1404,99;B;D
517/68;655,02;S;B
517/69;1178,12;B;B
517/70;532,98;X;D
517/71;628,07;S;D
517/72;1489,38;R;B
517/73;1421,60;B;D
517/74;787,61;R;C
517/75;1349,77;B;C
517/76;1267,67;B;C
517/77;1037,15;B;C
517/78;1094,12;X;C
517/79;586,70;X;B
517/80;1223,35;S;C
517/81;743,90;S;A
517/82;1100,13;X;A
517/83;559,01;R;B
517/84;1227,46;B;C
517/85;1131,36;B;B
517/86;1325,95;B;C
517/87;1321,07;S;B
517/88;1455,29;S;B
517/89;628,13;S;C
517/90;1089,08;B;C
517/91;1050,41;S;D
517/92;1282,10;L;B
517/93;697,32;X;B
517/94;623,38;B;B
517/95;1424,89;B;D
517/96;1079,34;X;B
517/97;1435,76;L;C
517/98;789,09;B;C
517/99;848,11;B;B
518/10;1482,82;L;B
518/11;945,42;B;B
518/12;1154,89;X;D
518/13;1422,23;X;D
518/14;974,74;X;D
518/15;1129,87;L;B
518/16;684,69;L;A
518/17;507,76;B;B
518/18;895,51;B;A
518/19;1040,42;B;C
518/20;1148,94;X;B
518/21;911,50;B;C
518/22;1033,50;X;B
518/23;1224,79;L;C
518/24;888,04;B;B
518/25;604,69;X;D
518/26;859,12;R;B
518/27;661,45;X;C
518/28;1301,99;X;D
518/29;1050,34;B;C
518/30;555,68;B;C
518/31;553,79;B;C
518/32;952,84;B;D
518/33;1072,32;B;B
518/34;509,72;B;A
518/35;1205,55;X;B
518/36;912,61;B;C
518/37;917,95;X;C
518/38;1386,34;L;C
518/39;1487,31;L;B
518/40;1070,97;B;A
518/41;1246,88;L;C
518/42;865,43;R;C
518/43;646,98;X;B
518/44;1190,48;L;C
518/45;922,43;S;C
518/46;1366,50;X;D
518/47;615,49;B;C
518/48;965,58;L;C
518/49;1217,81;B;A
518/50;1345,82;L;A
518/51;500,18;S;B
518/52;1477,63;L;C
518/53;1001,03;B;C
518/54;1339,02;X;B
518/55;765,06;L;D
518/56;822,05;B;C
518/57;584,63;X;B
518/58;838,31;R;B
518/59;1293,59;B;D
518/60;552,52;B;B
518/61;1492,88;B;B
518/62;813,13;B;B
518/63;952,90;R;A
518/64;660,64;S;A
518/65;1374,75;X;B
518/66;653,77;R;D
518/67;921,46;L;C
518/68;881,22;B;B
518/69;692,86;S;A
518/70;758,18;X;C
518/71;1333,01;R;C
518/72;687,73;B;B
518/73;1392,41;S;B
518/74;1063,86;L;C
518/75;1369,90;S;D
518/76;1011,82;S;A
518/77;1281,02;R;C
518/78;1097,55;B;C
518/79;1248,72;L;D
518/80;867,78;B;A
518/81;667,49;B;B
518/82;676,99;R;B
518/83;933,89;S;A
518/84;925,31;R;A
518/85;648,46;X;D
518/86;729,92;B;D
518/87;764,11;B;C
518/88;555,53;X;D
518/89;1083,42;S;C
518/90;502,13;B;B
518/91;659,42;B;C
518/92;1424,01;X;C
518/93;1443,46;R;B
518/94;1430,54;B;C
