data	wsch	zach	st_zach	produkcja	oddanie	pobranie
2022-01-01	07:42:56	15:36:07	0	7,78	3,29	4,56
2022-01-02	07:42:47	15:37:12	4	4,47	1,23	3,99
2022-01-03	07:42:35	15:38:20	4	6,02	4,74	2,56
2022-01-04	07:42:19	15:39:30	6	2,63	1,22	5,22
2022-01-05	07:42:00	15:40:43	2	7,99	5,68	4,22
2022-01-06	07:41:38	15:41:58	3	4,65	3,24	2,57
2022-01-07	07:41:12	15:43:16	1	7,91	2,34	2,22
2022-01-08	07:40:43	15:44:36	1	7,24	2,58	2,47
2022-01-09	07:40:11	15:45:59	1	7,96	2,74	1,95
2022-01-10	07:39:35	15:47:23	3	2,37	0,96	2,32
2022-01-11	07:38:56	15:48:50	5	1,56	0,45	3,21
2022-01-12	07:38:14	15:50:18	6	1,27	0,22	3,34
2022-01-13	07:37:29	15:51:49	0	8,63	3,47	2,26
2022-01-14	07:36:41	15:53:21	1	7,36	2,22	2,56
2022-01-15	07:35:50	15:54:55	5	2,11	0,45	2,21
2022-01-16	07:34:56	15:56:31	3	5,31	3,45	1,22
2022-01-17	07:33:59	15:58:08	2	5,93	1,25	3,34
2022-01-18	07:32:59	15:59:46	6	2,19	0,21	3,22
2022-01-19	07:31:56	16:01:26	4	3,53	0,34	1,25
2022-01-20	07:30:51	16:03:07	3	4,33	0,99	0,21
2022-01-21	07:29:43	16:04:50	6	2,33	0,02	2,61
2022-01-22	07:28:32	16:06:33	6	3,21	0,78	2,22
2022-01-23	07:27:19	16:08:18	5	4,02	2,01	1,01
2022-01-24	07:26:03	16:10:03	4	4,45	2,34	1,95
2022-01-25	07:24:44	16:11:49	3	5,52	2,21	1,21
2022-01-26	07:23:24	16:13:37	2	5,11	2,02	1,35
2022-01-27	07:22:01	16:15:25	1	4,97	1,92	2,01
2022-01-28	07:20:35	16:17:13	1	5,67	3,21	1,01
2022-01-29	07:19:07	16:19:02	1	5,76	3,33	2,01
2022-01-30	07:17:38	16:20:52	2	5,97	3,48	1,93
2022-01-31	07:16:06	16:22:42	1	6,01	2,34	0,94
2022-02-01	07:14:32	16:24:33	1	6,18	1,34	1,28
2022-02-02	07:12:56	16:26:24	1	7,25	1,57	1,01
2022-02-03	07:11:18	16:28:16	4	3,63	1,21	2,25
2022-02-04	07:09:38	16:30:07	1	7,8	3,34	2,94
2022-02-05	07:07:56	16:31:59	2	5,02	2,13	3,1
2022-02-06	07:06:12	16:33:51	1	6,87	2,89	3,34
2022-02-07	07:04:27	16:35:44	1	7,59	2,56	2,78
2022-02-08	07:02:40	16:37:36	1	7,84	2,63	2,19
2022-02-09	07:00:52	16:39:29	6	2,93	1,13	3,1
2022-02-10	06:59:01	16:41:21	7	1,24	0,3	2,14
